ym,lawd_cd,sgg_nm,housing_type,deal_type,n_deals,n_cancelled,n_jeonse,n_wolse,n_new,n_renew,median_amount_manwon,median_price_per_pyeong,avg_area_m2,avg_build_year
2021-08,41450,하남시,아파트,전월세,898,0,588,310,499,209,39500.0,1632.0,79.34,2013.0
2021-08,41450,하남시,연립다세대,매매,19,1,0,0,0,0,27000.0,1886.0,52.26,2006.0
2021-08,41450,하남시,연립다세대,전월세,61,0,47,14,32,21,14500.0,1000.0,52.9,2010.0
2021-08,41461,용인시 처인구,아파트,매매,197,14,0,0,0,0,32000.0,1502.0,73.8,2008.0
2021-08,41461,용인시 처인구,아파트,전월세,273,0,193,80,164,45,19000.0,938.0,69.57,2011.0
2021-08,41461,용인시 처인구,연립다세대,매매,185,6,0,0,0,0,11000.0,667.0,56.85,2002.0
2021-08,41461,용인시 처인구,연립다세대,전월세,156,0,79,77,112,14,4500.0,356.0,45.15,2006.0
2021-08,41463,용인시 기흥구,아파트,매매,512,14,0,0,0,0,60000.0,2173.0,88.45,2007.0
2021-08,41463,용인시 기흥구,아파트,전월세,1240,0,851,389,613,291,29200.0,1186.0,82.36,2007.0
2021-08,41463,용인시 기흥구,연립다세대,매매,48,1,0,0,0,0,23250.0,1467.0,63.8,2012.0
2021-08,41463,용인시 기흥구,연립다세대,전월세,107,0,61,46,69,17,9500.0,601.0,54.78,2007.0
2021-08,41465,용인시 수지구,아파트,매매,465,8,0,0,0,0,83500.0,3196.0,94.14,2004.0
2021-08,41465,용인시 수지구,아파트,전월세,1162,0,820,342,501,409,36725.0,1485.0,88.15,2005.0
2021-08,41465,용인시 수지구,연립다세대,매매,13,2,0,0,0,0,25000.0,1648.0,53.41,2011.0
2021-08,41465,용인시 수지구,연립다세대,전월세,70,0,46,24,35,19,17850.0,1533.0,45.36,2013.0
2021-08,41480,파주시,아파트,매매,535,29,0,0,0,0,34500.0,1383.0,79.24,2006.0
2021-08,41480,파주시,아파트,전월세,1185,0,648,537,610,195,16800.0,740.0,73.02,2010.0
2021-08,41480,파주시,연립다세대,매매,137,8,0,0,0,0,18500.0,1042.0,59.6,2011.0
2021-08,41480,파주시,연립다세대,전월세,169,0,126,43,104,7,16500.0,905.0,55.08,2013.0
2021-08,41500,이천시,아파트,매매,445,35,0,0,0,0,17000.0,822.0,69.9,2001.0
2021-08,41500,이천시,아파트,전월세,374,0,281,93,290,28,14000.0,717.0,67.66,2003.0
2021-08,41500,이천시,연립다세대,매매,74,4,0,0,0,0,11000.0,700.0,59.6,2005.0
2021-08,41500,이천시,연립다세대,전월세,113,0,64,49,87,3,6000.0,466.0,48.71,2009.0
2021-08,41550,안성시,아파트,매매,411,30,0,0,0,0,15000.0,996.0,58.63,2002.0
2021-08,41550,안성시,아파트,전월세,481,0,283,198,268,33,8000.0,545.0,54.55,2005.0
2021-08,41550,안성시,연립다세대,매매,49,1,0,0,0,0,10500.0,599.0,58.22,2007.0
2021-08,41550,안성시,연립다세대,전월세,37,0,9,28,24,0,500.0,50.0,36.07,2012.0
2021-08,41570,김포시,아파트,매매,618,20,0,0,0,0,50500.0,2040.0,84.18,2009.0
2021-08,41570,김포시,아파트,전월세,1492,0,668,824,581,240,10950.0,481.0,67.13,2015.0
2021-08,41570,김포시,연립다세대,매매,89,1,0,0,0,0,14500.0,955.0,53.69,2007.0
2021-08,41570,김포시,연립다세대,전월세,101,0,67,34,62,10,14000.0,850.0,55.54,2011.0
2021-08,41591,화성시 만세구,아파트,매매,142,10,0,0,0,0,33000.0,1373.0,77.56,2007.0
2021-08,41591,화성시 만세구,아파트,전월세,615,0,487,128,152,37,17000.0,756.0,76.37,2015.0
2021-08,41591,화성시 만세구,연립다세대,매매,47,2,0,0,0,0,9700.0,635.0,57.05,2005.0
2021-08,41591,화성시 만세구,연립다세대,전월세,49,0,20,29,33,1,2000.0,99.0,52.34,2012.0
2021-08,41593,화성시 효행구,아파트,매매,96,5,0,0,0,0,40000.0,1550.0,77.39,2006.0
2021-08,41593,화성시 효행구,아파트,전월세,233,0,101,132,111,39,6212.0,477.0,55.54,2012.0
2021-08,41593,화성시 효행구,연립다세대,매매,30,3,0,0,0,0,8800.0,541.0,59.21,2002.0
